X,y
Visions of a Tech Hub? Landing Amazon Is Just a Start,1
"A U.S. Trade Complaint, Tech Earnings and Jobs Numbers",-1
"This start-up is promising a revolution, and Wall Street is pushing back",1
Alibaba Feels the Pinch From China’s Slowing Economic Growth,-1
"General Electric has a solid business and looks pretty good at these prices, he muses. . . But as an investor who has seen dozens of economic downturns, Kahn .",1
Rising gas prices are a growing threat to the American way of life,-1
"First and foremost, don't abandon stocks. As long as inflation doesn't ramp up to the double-digit levels of the 1970s and early 1980s — a scenario I consider .",1
Global warming's economic tax hits restaurant stocks. The most visible evidence of how global warming could impact a company's stock price occurred on July .,-1
"A sell-off in stocks accelerated Monday afternoon following the news of explosions .  The Chinese economy grew 7.7% in the first quarter, compared with a year earlier. . . The indexes for general business conditions and new orders remained .",-1
"Jack Dorsey of Twitter and Marc Benioff of Salesforce, among others, are sparring over a Nov. 6 ballot initiative that would impose new corporate taxes.",-1
Tempting JSE stocks emerge amid SA's economic woes,-1
Stocks Suffer Sharpest Drop Since 2008,-1
His message to investors seemed to repair the damage from his remarks two weeks ago.,1
Elizabeth Warren Wants a Wealth Tax. How Would That Even Work?,-1
US stocks skid deeper on tech sell-off,-1
"PRINCETON, NJ -- Even as stocks have returned to lofty heights from their March 2009 lows, the percentage of Americans saying they hold individual stocks, .",-1
"India's drugs regulator has ordered Johnson & Johnson to stop manufacturing its Baby Powder using raw materials in two of its Indian factories until test results prove they are free of asbestos, a senior official said on Thursday.",-1
"Housing Market Slows, as Rising Prices Outpace Wages",-1
"With 8 Years of Job Gains, Unemployment Is Lowest Since 1969",1
"The Nikkei 225 average climbed 133.65 points, or 0.62 percent, to end at 21,584.50. On Friday, the key market gauge rose 163.83 points.",1
"By the mid-1990s, the economy was starting to boom again, too. How could it .  He even gave the company his initials, DJT, as its stock ticker symbol. Its debts .",-1
US stocks rattled as two industrial giants warn of trouble,-1
Bond funds soar as stocks slump and hopes for economy start to dim,-1
"Jobs, Factories and Stocks Provide Economic Lift for Trump",1
"With the Economy Uncertain, Tech ‘Unicorns’ Rush Toward I.P.O.",-1
Maximizing shareholder value: The goal that changed corporate,1
The company's initial public offering on the New York Stock Exchange will .  Alibaba's IPO represents some much bigger trends shaping the world economy.,1
Huawei's profits jump by 25% despite US efforts to curtail its business,1
"From Apple to Nvidia, tech companies say business is slowing. Among the reasons: China and a Bitcoin slump. It may be just a bump — until it’s not.",-1
American Airlines extends Boeing 737 MAX flight cancellations through April 24,-1
Europe’s largest economy showed no growth in the fourth quarter as steel tariffs hit manufacturers and sales to China declined.,-1
"U.S. fines American Airlines, Delta for long tarmac delays",-1
"Earlier this month, Goldman Sachs downgraded stocks to ""underweight"" as part of its .  have said it was important for companies to get on with their business.",-1
"Beijing’s proposed concessions may help both sides, but may not alleviate the tensions fueling its economic conflict with the United States.",-1
The e-commerce giant lowered its estimate for revenue growth this year as challenges mount for the world’s second largest economy.,-1
"Hard Lessons (Thanks, Amazon) Breathe New Life Into Retail Stores",1
FedEx Corp this summer plans to begin testing a robot to handle home deliveries for partners ranging from Walmart Inc to Pizza Hut.,1
IT stocks here on hot streak,1
Dow rises nearly 200 points after the US and Canada strike a deal to replace NAFTA,1
"The impact on companies that do business internationally is muted by their .  The relative strength of the yen has little economic effect on these companies until they .  The movement of currencies is subject to many factors, but like stocks, the .",-1
Stocks in Asia and Europe sink on fears of slowing growth,-1
"Ford Versus Chevy: Comparing Business Models and Strategies (F, GM)",1
China and U.S. to Continue Trade Talks Next Week,-1
"India is world's biggest investment opportunity, says a bullish Mukesh .",1
Market cap to GDP ratio signals upside for stocks,-1
Delta's profit tumbles on higher costs; passenger unit revenue rises,-1
"Upbeat data helped send world shares to a fourth all-time high in less than a month on Thursday as Wall Street edged higher in anticipation of solid earnings, while crude oil gained on evidence of stronger demand in China.",1
Asian stocks dip after US credit downgrade,-1
The Stock Market Typically Rises After Midterm Elections. This Year Is Anything but Typical.,-1
Stocks rebound after fake tweet spooks investors,1
Legendary economist Gary Shilling explains how you can beat the .,1
"Two principal factors account for the losses: lost economic business activity .  and if the housing stock is replaced with better homes that are sturdier, than on net .",-1
"As stock prices started tumbling in the first trading days of the year, many Wall .  chief executive of BlackRock, the world's largest money management company.",-1
"Glencore said trade barriers are its ""foremost risk"", but climate, political, legal and other potential dangers have become more pressing for the mining and trading group.",-1
"Many of the big economic questions in coming decades will come down to just how extreme the weather will be, and how to value the future versus the present.",-1
Bayer CEO says his team retains backing of supervisory board: report,-1
"Although all these trends would appear to bode poorly for stocks, on the theory that a weak economy reduces investor appetite for risk, there's a problem with .",-1
"Campbell Soup beats earnings estimates, shares rise",1
3 Reasons Why Apple's Stock Is Tanking Right Now,-1
"The basket of stocks we looked at are up an average of 12-percent in 2012. .  favorable economic trends in the U.S., a warm winter has been great for business.",1
U.S. auto sales fall in February on weak SUV demand,-1
"""Surprisingly, despite the challenges facing the economy, the stock market has .  External auditors noted that the company's ""going concern"" status was in .",-1
"Unions representing civil servants might be expected to speak in unison on getting their members back to work, but differences in tactics and philosophy are emerging.",-1
"Rattled by Vale disaster, mining CEOs move to change industry",-1
"There's a bigger, scarier problem lurking behind China's recent stock market crash: The basics of its economy are totally out of whack, forcing it to grow in a .",-1
"WASHINGTON, D.C. -- Half of Americans say investing $1,000 in the stock market .  Despite economic booms and busts, however, a majority of Americans have .",-1
"In stark contrast to the U.S., where a bull market continues, investors are pulling out of developing economies as the economic and financial risks mount.",-1
"The Dallas Mavericks owner, who's been a staunch Trump opponent throughout this election cycle, took it up a notch on Tuesday, telling Fox Business host Neil .",-1
"Political stumbles, savvy activists knock Canada's oil sector to its knees",-1
The surge in the stock market since Donald Trump was elected president last November raises the prospect that a surge in business and investor confidence is .,1
"Amazon and Google are aggressively opening offices outside of their Silicon Valley and Seattle hometowns. On Thursday, Apple said it would invest $1 billion in Austin, Tex.",1
Mexico eyes fresh U.S. targets for tariffs to pressure Trump over steel,-1
Nevada casino regulators said on Tuesday they had fined Wynn Resorts Ltd $20 million in a settlement with the company involving misconduct claims against former chief executive Steve Wynn.,-1
"Have a look at just about any Russell 2,000 stock at around noon as the volume . . The free market attempted to obliterate this sector of the economy and punish .",-1
IBM revenue has fallen for 20 quarters — but it used to run its business .,-1
"President Trump gave U.S. steel companies a shot in the arm Thursday when he doubled down on his trade threats. Shares of AK Steel (AKS), Nucor (NUE), .",-1
Watch Out. Tax Season Is Even More Stressful Than Usual.,-1
Global stocks slide amid concerns about world economy,-1
"EU states block putting Saudi Arabia, U.S. territories on dirty-money list",-1
"But one under-appreciated factor is a pervasive business model that encourages .  and for our broader economy,” Fink wrote, adding that favoring shareholders .",-1
"In US, 54% Have Stock Market Investments, Lowest Since 1999",-1
A localized recession in manufacturing-heavy areas can explain a lot of things.,-1
Hyundai Motor says to lift auto operating margin to 7 percent by 2022,1
Stock Indexes Fell on the Fed's View on the Economy. Here's Why,-1
"After months of refusals to back down, the government blinked, saying it would shave billions of euros off its budget to avoid financial penalties from the E.U.",-1
"Stock markets across the globe have been on the upswing over the past few months .  Meanwhile, there are now hopes of a recovery in the Japanese economy, .",1
The stock market resumed its free fall Monday on mounting fears about the stalling economy and worries that the government had few options to increase . . nearing a double-dip recession as everyone from consumers to businesses retrench.,-1
"The pervasive U.S. economic recession with bank failures that came to be .  The Asian economic crisis, currency devaluation and speculation in stock and .",-1
U.S. President Donald Trump said this week he may soon sign a deal with Chinese President Xi Jinping to end a trade war blamed for slowing global economic growth and disrupting markets.,1
"Automakers on Friday reported a decline in U.S. light vehicle sales for February as demand for SUVs slows after years of rapid growth, pointing to a drop in overall sales in 2019.",-1
Mylan NV shares slid 10 percent on Wednesday after the generic drug maker predicted poor 2019 earnings that led some Wall Street analysts to wonder if its finances would worsen further.,-1
"According to Reliance Capital Markets, a Chicago-based company that sells .  that could be a sell signal, and a manager might start putting shorts on stocks.",1
"The August jobs numbers suggest an economy that is starting to strain at its capacity, as the labor force shrank and wages rose.",-1
"Wall Street stocks fell sharply in volatile trading on Friday, with the Nasdaq confirming it is in a bear market, as concerns of slowing economic growth led investors to flee stocks in high-valuation sectors such as technology and communication services.",-1
"It you held a portfolio of the ten best stocks in the S&P 500 since the start of the year, .  Sales from its paint stores were a huge boost to the company's performance, .  Along with progress that correlates with the improving economy, Pulte has .",1
Japanese stock markets fell more than six percent Monday as the country's .  the Bank of Japan's vow to keep the economy--the third-largest in the world--on track. .  of plants and businesses in the more heavily industrialized Tohoku region.,-1
"The economy has been fairly strong, but economists are nearly unanimous in concluding that President Trump’s economic policies are destructive.",-1
"Optimism on economy, stocks surges since Trump election: CNBC survey .  from two priorities he has discussed at length, business tax cuts and deregulation.",1
"For much of the past 16 months, however, as stock prices stormed back, investors have been focused on the prospects of an inflationary spike, but history shows .",-1
IBM: when corporations took care of their employees,1
The dollar gained on Friday as investors sought the currency's safety amid persistent equity market volatility and a possible U.S. government shutdown.,-1
By Mark Zandi for CNN Business Perspectives .  way out of the conflict with China as the damage to the stock market and economy mounts.,-1
"Venture Corp said that while its traditional medical technology, healthcare and life science-related business goes back many years, it had more than doubled in .",1
Factbox: Past Nasdaq bear markets lasted long and cut deep,-1
Nevada regulators fine Wynn Resorts $20 million in settlement,-1
How Does The Yen Affect American Finance?,-1
"When Rep. Alan Grayson's telecom company went public in the 1990s, he cashed out with millions, sunk his money into the stock market and built the fortune .",-1
Mylan shares sink as bleak profit outlook sparks growth concerns,-1
"If stocks continue to appreciate at a 3% higher rate than the economy itself, then stockholders will command not only a disproportionate share of wealth but .",-1
China Seeks Allies as Trump’s Trade War Mounts. It Won’t Be Easy.,-1
Volkswagen's flagship VW brand missed margin goal in 2018: Spiegel,-1
Nearly 100% of corporations say there will be no US recession this . ,1
Silos in 4 states to make space for growing grain stocks,1
"Tesla Inc's sudden decision to shutter the bulk of its stores around the world raises a red flag over the future of its solar branch, a declining business it paid $2.6 billion for in a controversial 2016 deal.",-1
"From planning to harvest, the grain belt’s rhythms and prospects have been disrupted by the government’s tariff battle with China.",-1
It is a good time to accumulate banking stocks',-1
Fed Chairman Powell to Markets: I Hear You,1
"The Markets Are Up, Unemployment Is Down. How Much Credit .",1
Canada to allow extradition case against Huawei executive,-1
"American Airlines was fined $1 million and Delta Air Lines Inc $750,000 for violating federal rules barring lengthy tarmac delays at U.S. airports, the U.S. Transportation Department said on Thursday.",-1
Trump needs a reminder that the stock market isn't the economy,-1
Here are five ways things could get bad for everyone.,-1
Stocks Fall Back Into Negative Territory for 2018 as Economic . ,-1
Will the Internet Destroy the Stock Market?,-1
"Forecasters, investors and policymakers lack many of the reports they rely on, just as concerns grow that the nation’s economic expansion could be ending.",-1
"Southwest Airlines Co said on Wednesday it won approval from the U.S. Federal Aviation Administration to begin flying to Hawaii from California, clearing the way for the low-cost carrier to move forward with a key part of its 2019 growth plan.",1
"Just when we thought we were out, global deflationary forces have pulled us back in.",-1
"Others bought stocks in financial firms that would later be saved by the federal .  in which Paulson and Bernanke warned of the coming economic cataclysm, .  Hathaway stock in the days before the Warren Buffett-run holding company bought .",-1
"If you've noticed the steep upward trajectory of the stock market over the past few .  “The health of the financial system might matter less for the real economy .  for getting money into productive businesses, but for getting money out of them."".",1
The slow level of employment growth is not a sign of a stagnant economy. It is the result of .  The stock's valuation is writing checks the company can't cash.,1
"U.S. and China Extend Talks, but Final Deal Remains Elusive",1
Stock Market Ends Sharply Lower as Worries About Economy Surface,-1
A Historical Cycle Bodes Ill for the Markets,-1
Bernanke: Fed's actions led to stock rally,1
Confusing signals from Washington send markets plunging,-1
"The jeans may be skinny. But the returns on the shares have been fat. Share prices of Fast Retailing, the Japanese retail giant that owns global fast-fashion .",1
Japan Bond Yield Slides Below Zero and Stocks Fall,1
"With more start-up businesses per capita than anywhere else in the world, Israel .  well above its average in all of the metrics that define a successful economy.",1
"If it persists, a steady uptick in prices could complicate Beijing’s effort to support economic growth and contend with the trade war with the United States.",-1
"Chinese stocks have staged a remarkable comeback in the final weeks of the .  this month on more signs that the worst could be over for the Chinese economy, .",-1
"A U.S. lawmaker on Friday urged current or former Boeing Co and Federal Aviation Administration (FAA) employees to come forward with any information about the certification program for the 737 MAX, which has suffered two fatal crashes in five months.",-1
French court fines oil group Total in Iran bribery case,-1
"How Embargoes Affect International Business (XOM, BP)",-1
U.S. agency probing two fatal Tesla crashes in Florida since last Sunday,-1
Steel stocks jump on Trump's tariff threat,-1
"In Liberal San Francisco, Tech Leaders Brawl Over Tax Proposal to Aid Homeless",-1
"Typically, this will result in the short-term increase of a company's stock .  are bad for the U.S. economy, and extremely dangerous for unsophisticated and .",-1
Tencent shares spike as China watchdog flags video game approvals,1
"After a difficult week for the stock market and rising trade tensions, the November jobs report provided evidence that the economy remains strong.",1
"Stocks on Wednesday climbed back from their epic Christmas Eve plunge as all .  White House economic adviser Kevin Hassett assured reporters that Federal .  Hassett, in an appearance on Fox Business Network, also said . ",1
Dow jumps more than 250 points on US-China trade truce,1
Holiday Spending Should Be Strong. And Then?,-1
U.S. safety agencies to investigate fatal Tesla crash in Florida,-1
"If a recession really is coming, here's what Powell and Trump can do . ",-1
Investment in the sector nearly halved in 2018 as negotiations over the departure from the European Union led to uncertainty for manufacturers.,-1
Embattled tech stocks drag down rest of market in late-day plunge,-1
"Stocks steered lower after a disappointing manufacturing report from the .  China's weakening economy gives President Trump the upper hand in .  as the most valuable company, with a market capitalization of $780 billion.",-1
"Warren Buffett to CNBC: Economy Has ""Fallen Off a Cliff",-1
"The economy added 304,000 jobs in January, the 100th consecutive month of payroll gains. Unemployment ticked up to 4 percent, possibly a shutdown-related anomaly.",1
"Rising risks and recent soft data shouldn't prevent solid growth for the U.S. economy this year, but the Federal Reserve will remain ""patient"" in deciding on further interest rate hikes, Fed Chairman Jerome Powell said on Tuesday.",1
Why Russia Can't Afford Another Cold War,-1
"Warren Buffett Buying Stock Bargains with US Recession 'Very, Very .",-1
"Finally. Stocks wrapped up a stellar first quarter Thursday with the S&P 500 finishing at a new high, after flirting with the milestone for weeks.",1
Automakers boost Takata air bag recall completion rates,-1
"The Week in Business: The Shutdown Ends (for Now), and Venezuela Has One More President Than It Needs",1
Does The Government Actually Manipulate The Stock Market?,-1
Music streamer SoundCloud has cash until fourth quarter after layoffs,-1
The largely positive Labor Department report hinted that tariffs could be starting to take a toll on manufacturing jobs.,-1
U.S. third-quarter growth trimmed; business spending slowing,-1
"Blackstone Group LP Chief Executive Stephen Schwarzman pocketed at least $567.8 million in 2018 dividends and compensation, making him yet again the private equity industry's highest earner, a regulatory filing showed on Friday.",1
Lab-grown diamond prices slide as De Beers fights back,-1
6 Recession-Proof Stocks,-1
"An Ethiopian Airlines executive questioned whether Boeing had told pilots enough about ""aggressive"" software that pushes a plane's nose down, a focus of investigation into a deadly crash in Ethiopia this month.",-1
"European stocks took a tumble on Friday, indicating that hardly anyone had penciled in a pro-Brexit vote, with markets sharply up on the previous trading day.",-1
ET 500: Stocks that pass Warren Buffett's 'basic screen test' of value .,1
Why the Housing Market Is Slumping Despite a Booming Economy,-1
"In a new article, he warns that the economy may be on the edge of a .  Americans' present wealth — stocks, homes and private businesses . ",-1
Manager at Brazil's Vale told executives of dam risks: newspaper,-1
"EU needs financial police, money-laundering watchdog: lawmakers",1
"Today’s release of the latest economic growth figures show that our economy is demonstrably on the mend, but the strength of the recovery remains to be seen. Gross domestic product grew at an annual rate of 2 percent between July and September this year.",1
Huawei to be arraigned in U.S. fraud case in New York on March 14,-1
"The bank’s move, to ramp up the benchmark rate by 6.25 percentage points, had long been resisted by President Recep Tayyip Erdogan.",-1
"Boeing Co has been awarded a $4.1 billion U.S. defense contract related to the expansion and improvement of the ground-based midcourse missile defense system, the Pentagon said on Friday.",1
SoftBank's Vision Fund nearing $1.5 billion investment in SE Asia's Grab: source,1
Who Wants a Market Downturn? These Investors Actually Do,-1
"Workers Overdose on the Job, and Employers Struggle to Respond",-1
"The pace of U.S. vehicle sales is set to slow for the sixth straight month in December despite aggressive discounts from manufacturers, according to industry consultants J.D. Power and LMC Automotive.",-1
There are other tools that don’t involve quite the risks and challenges of targeting the richest families.,-1
The market turbulence of the past weeks resumed Friday as stocks bobbed up and .  [Fed cuts its outlook for U.S. economy; stocks plunge].,-1
Turbulence and Uncertainty for the Market After 'Brexit',-1
Inquiry in China Adds to Doubt Over Reliability of Its Economic Data,-1
Can China Turn the Middle of Nowhere Into the Center of the World Economy?,1
"They see limited risk to China's real economy from the stock market turmoil and little to .  Nick Dixon, an investment director at the asset management company .",-1
I think it's the acknowledgement that the global economic and financial economic developments are going to be monitored closely because they could .,-1
"As polls numbers drop, President Emmanuel Macron promises benefits for middle- and low-income earners and tells investors he won’t halt economic reforms.",1
"The Standard & Poor's 500-stock index fell 0.8 percent in the five days, .  plunge since January after weak economic data from Germany and . ",-1
Oracle Becomes Bellwether of Rough Global Economy,-1
"The U.S. economy slowed slightly more than previously estimated in the third quarter and momentum appears to have moderated further in the fourth quarter, with new orders and shipments of manufactured capital goods falling in November.",-1
"Last week, the Dow Jones hit a record high — at least if you didn't adjust for inflation. So who actually benefits from a booming stock market? In one sense, lots .",1
Q&A: What is driving the global stock market rally?,1
Economic Milestone: Stock Market Scam (1992),-1
Canada economy posts surprise growth in Jan; reverses 2 monthly declines,1
"Japanese prosecutors arrested Nissan Motor Co Ltd's ousted chairman Carlos Ghosn again on Friday on new allegations of making Nissan shoulder $16.6 million in personal investment losses, dashing chances he would be released on bail before Christmas.",-1
"Also, stocks were due for a bounce after a fourth-quarter rout that had left .  and China took steps to stimulate its flagging economy, he said. .  China, for example, has moved to cut taxes and boosted credit for small business.",-1
Opinion: How the stock market destroyed the middle class,-1
Correlation between currency and stocks,1
U.S. third-quarter economic growth revised down to 3.4 percent,-1
"Trump’s Policies, Not His Insults, Contributed to the Fed’s Shift",-1
A brief guide to recessions and what can be done about them.,-1
"U.S. stocks shuddered on Tuesday as earnings reports from two industrial .  told shareholders its business growth could slow and warned its dealers .  [As stocks tumble, U.S. wonders: Is this economy as good as it gets?].",-1
The Economy Faces Big Risks in 2019. Markets Are Only Now Facing Up to Them.,-1
What a quarter! Dow and S&P at record highs,1
"The following is a comparison of Ford and GM's business models, which .  have achieved significant revenue growth since the economic crisis of 2008 and .",1
Japan's economy makes surprise fall into recession,-1
World stock markets continued a week-long sell-off on Friday as the threat of a U.S. government shutdown and further hikes in U.S. borrowing costs compounded investor anxiety that global economic growth is slowing.,-1
Banking On Blue Chip Stocks,1
"And given the chip industry's status as one of the anchors of business investment in the economy, is the string of weak news a sign the country . ",-1
"The European Central Bank has downplayed a global slowdown for months, but it will finally take a tentative step next week to prop up the euro zone economy, signaling fresh stimulus to keep banks lending.",1
"The central bank did not shift its monetary policy, but lowered its forecasts for economic growth in Europe, in part because of tensions over trade.",-1
Congress is on pace to be historically unproductive — and that could .,-1
"""How long the economic expansion can continue .  depends on sustaining a .  According to Russell's Business Cycle Index, the odds of recession over the .  Major stock market averages are actually negative since the Fed . ",-1
"China's CDH Investments is aiming to raise nearly $1 billion in dollar and yuan funds through its venture and growth capital arm to invest in sectors including healthcare and logistics, said people with direct knowledge of the matter.",1
Japan stocks rattled by $617bn 'fat finger' trading error,-1
The Next Global Crash: Why You Should Fear the Commodities Bubble,-1
"On Monday, the Russian stock market index, the RTSI, fell more than 12 .  was all but impervious to foreign economic or business pressure, thanks in part to an .",-1
I don't blame investors for thinking there must be a way to get in on something big. People are trying to make money any way they can in a stock market where .,1
Economic Slowdown: How Serious for Stocks?,-1
FULL DETAILS: How Congress Insider Traders Abused The Public's .,-1
Trump’s Tax Cut Was Supposed to Change Corporate Behavior. Here’s What Happened.,1
China's economic slowdown has finally left its imprint on global stock markets. .  Those problems could easily be aggravated if the oil business were to cease to .,-1
4 Sectors Likely to Thrive With an Improving Economy,1
"European Union member states unanimously rejected on Friday a proposal to blacklist Saudi Arabia and four U.S. territories for lax controls on terrorism financing and money laundering, sources told Reuters.",-1
Several Reported Killed in Libya as Gunmen Storm National Oil Company,-1
What's the worst that could happen? 7 debt-default doomsday scenarios,-1
"The White House doubled its estimate of the shutdown’s drag on growth, and other economists warned a long stalemate could push the economy into a contraction.",-1
"If Walmart, Lowe’s and other companies win their property tax appeals, homeowners and small businesses will have to pay more or live with smaller town budgets.",-1
"E.U. Rejects Italy’s Budget, and Populists Dig In",-1
"My starting point: Tesco's latest annual report, where the company's directors are .  Like all retailers, the business is susceptible to economic downturn affecting .",-1
Does Quantitative Easing Mainly Help the Rich?,1
"Delta Air Lines will not delay its 2018 deliveries of CSeries planes from Canada's Bombardier Inc , the carrier's chief executive said on Thursday, following an anti-dumping complaint by Boeing Co against the jets.",1
"The classic microcap scams involve efforts to hype the value of a company's stock by spreading false or misleading information via spam, online chat groups or .",1
Oil futures gained about 2 percent on Wednesday after U.S. crude inventories unexpectedly plummeted and as Saudi Arabia brushed aside comments from U.S. President Donald Trump seeking to keep oil prices from climbing.,1
The Government Shutdown Made the I.R.S. Even More Frustrating,-1
Zimbabwe Stock Exchange exposes distressed industry,-1
"Once regarded mostly as sources of money for professional money managers, sovereign funds have matured into aggressive investors.",1
"Nonetheless, Cuba is taking steps to lure foreign business and liberalize its economy. A law passed in 2014 included measures to encourage more foreign .",1
"As Big Retailers Seek to Cut Their Tax Bills, Towns Bear the Brunt",-1
"Williams soothes markets, says Fed listening and could change policy",1
How to Read Financial News,-1
"Innovation, investment and inviting geology have given new life to an oil patch that once seemed spent. The oil field is now the world’s second most productive.",1
"A slower period for the economy may be a serious headwind for stocks. .  The company indicated same-store sales would be down in high single digits, but .",-1
"Amazon.com Inc plans to open dozens of grocery stores across the United States as it looks to expand in the food business, the Wall Street Journal reported on Friday, citing people familiar with the matter.",1
Chinese stocks tumble for a second day after global fall,-1
Billionaire Ron Baron says the stock market and economy will double .,1
Buffett invests only in businesses where future earnings can be foreseen with some certainty. The 13 companies in our list grew on an average of 27.40% .,1
"One factor underpinning the lack of volatility in stocks: Economic volatility, both in the U.S. .  That risk-averse behavior has extended to businesses, making them .",1
"Stocks rose on Friday amid renewed optimism on the progress of .  financial markets and souring business and consumer sentiment. .  The reason why is, while stocks got cheap for a brief amount of time, the economy is not . ",1
"The U.S. goods trade deficit widened sharply in December as slowing global demand and a strong dollar weighed on exports, another sign that economic growth slowed in the fourth quarter.",-1
Yield curve inverts for first time since 2007 on global growth worries,-1
Is a Recession Coming?,1
"Greece, 10 Years Into Economic Crisis, Counts the Cost to Mental Health",-1
"Hyundai Motor Co said on Wednesday it plans to boost the core automotive businesses’ operating profit margin to 7 percent by 2022, compared with 2.1 percent in 2018, as part of its mid- to long-term plan.",1
US stocks skid again on renewed fears that tech sector has run out of . ,-1
South Korea's economy and its stock market are dominated by dozens of financially .  These conglomerates are complex businesses that often have circular .,1
"They also tend to favor small-capitalization stocks, which have historically beaten the .  Three economists, Luigi Guiso of the Einaudi Institute for Economics and .",1
"Vietnamese carriers VietJet, Bamboo unveil Boeing deals worth $15 billion",1
Volkswagen to write off Gett investment - Spiegel,-1
Private Businesses Built Modern China. Now the Government Is Pushing Back.,-1
Insider Trading: CNBC Explains,1
U.K. Auto Industry Already Feeling the Brexit Pinch,-1
"Chinese turn backs on stock market, invest in walnuts instead",1
"The U.S. economy grew at its fastest rate in more than a decade between the months of July through September, according to government data released Tuesday morning, marking the latest sign that a once-sluggish recovery is now running at full speed.",1
"Earlier this year, Juul Labs quietly spun out of vaping company Pax Labs and quickly catapulted up the charts to become the top e-cigarette producer on the .",1
Amazon’s power is even more pronounced in the nail-biter sprint toward Christmas. A two-decade obsession with delivery speed has given it a huge edge.,1
October's stock skid deepened losses Friday on a global sell-off in .  China that made investors think the global economy may have reached its growth limit. .  Business capital expenditures are a big contributor to growth and . ,-1
SEC ups efforts to combat manipulations of 'microcap' stocks,1
Why is China's stock market in crisis?,-1
The strength of the economy and the stock market might seem too good to be true. But you may want to hedge your bets.,1
"Bayer reaps profit lift from Monsanto seeds, consumer health",1
"Amazon, Comcast, Electronic Arts submit bids for Nexon holding firm-Maeil report",1
"Sunrise Communications has entered ""advanced discussions"" to buy Liberty Global's Swiss business in a deal which values the internet and digital television provider at 6.3 billion Swiss francs ($6.30 billion).",1
Budget Deficit Jumps Nearly 17% in 2018,-1
"The Canadian government, as expected, said on Friday it would allow an extradition hearing to proceed against Meng Wanzhou, the chief financial officer of Huawei Technologies Co Ltd who was detained in Canada late last year.",-1
A Winter-Coat Heavyweight Gives Trump’s Trade War the Cold Shoulder,-1
"U.S. stock markets suffered their steepest Christmas Eve decline in decades Monday, .  Investors have been shaken by recent economic and political .  had ample credit to extend to American businesses and households.",-1
"UK business investment slide, but trade war optimism boosts stocks . ",1
China's economy is at risk of catching a nasty flu -- and infecting the rest of the world in .  American business hit: Pockets of the U.S. stock market are exposed to .,-1
Next oil downturn? Gasoline margins in Singapore halved as stocks .,-1
"Huawei Technologies Co Ltd and two affiliates will be arraigned on March 14 in U.S. District Court in Brooklyn, New York, on accusations the company committed bank and wire fraud and violated sanctions against Iran, according to a court filing on Friday.",-1
A day of reckoning for the ECB?,1
